hour,temp_F
0,30.814632500000037
1,30.852860000000057
2,30.108447500000032
3,30.09104375000003
4,30.192620000000034
5,29.97320000000004
6,30.035120000000052
7,30.553880000000042
8,33.51848000000005
9,33.884960000000035
10,35.74328000000005
11,48.371607500000074
12,49.732643750000065
13,49.193780000000054
14,52.16214875000003
15,53.14569125000004
16,46.64642000000007
17,50.124188750000044
18,46.11920000000007
19,43.73052125000004
20,39.27848000000002
21,36.44276000000002
22,36.56408000000002
23,33.96607250000007
