year,renewable,nonRenewable
2001,340561.0,7182474.0
2002,401931.0,7368683.0
2003,414143.0,7405569.0
2004,410766.0,7583881.0
2005,418190.0,7746931.0
2006,447049.0,7737216.0
2007,413622.0,7955408.0
2008,441482.0,7852327.0
2009,479518.0,7475637.0
2010,490818.0,7815389.0
2011,577741.0,7679212.0
2012,561032.0,7592121.0
2013,591839.0,7600948.0
2014,649945.0,7641328.0
2015,669909.0,7604324.0
2016,752886.0,7538700.0
2017,857097.0,7377790.0
2018,898619.0,7648091.0
2019,936101.0,7524405.0
2020,1017502.0,7228988.0
2021,1090134.0,7397104.0
2022,1224111.0,7555441.0
2023,1256779.0,7458767.0
